name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Social Justice and Empowerment
Demand No. 94
Department of Empowerment of Persons with Disabilities",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Program for the Welfare of Persons with Disabilities,Assistance to Disabled Persons for Purchase/Fitting of Aids and Applicances,245.0,0.028823529411764706
"Ministry of Social Justice and Empowerment
Demand No. 94
Department of Empowerment of Persons with Disabilities",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Program for the Welfare of Persons with Disabilities,Scheme for implementation of Persons with Disability Act,150.0,0.01764705882352941
"Ministry of Social Justice and Empowerment
Demand No. 94
Department of Empowerment of Persons with Disabilities",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,National Program for the Welfare of Persons with Disabilities,Deendayal Disabled Rehabilitation Scheme,130.0,0.015294117647058824
"Ministry of Social Justice and Empowerment
Demand No. 94
Department of Empowerment of Persons with Disabilities",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Scholarship for Students with Disabilidties,,155.0,0.018235294117647058
"Ministry of Social Justice and Empowerment
Demand No. 94
Department of Empowerment of Persons with Disabilities",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Support to National Institutes,385.0,0.045294117647058825
"Ministry of Social Justice and Empowerment
Demand No. 94
Department of Empowerment of Persons with Disabilities",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Centre for Disability Sports,76.0,0.008941176470588235
"Ministry of Social Justice and Empowerment
Demand No. 94
Department of Empowerment of Persons with Disabilities",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Budgetary Support to National Trust,35.0,0.00411764705882353
"Ministry of Social Justice and Empowerment
Demand No. 94
Department of Empowerment of Persons with Disabilities",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Rehabilitation Council of India,6.4,0.0007529411764705882
"Ministry of Social Justice and Empowerment
Demand No. 94
Department of Empowerment of Persons with Disabilities",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,42.52,0.005002352941176472
"Ministry of Social Justice and Empowerment
Demand No. 94
Department of Empowerment of Persons with Disabilities",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Attached Office CCPD,,0.2,2.352941176470588e-05
