name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),,60000.0,7.058823529411765
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Modified Interest Subvention Scheme (MISS),,23000.0,2.7058823529411766
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)",,955.0,0.11235294117647059
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Distribution of Pulses to State / Union Territories for Welfare Schemes,,800.0,0.09411764705882353
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Agriculture Infrastructure Fund (AIF),,500.0,0.058823529411764705
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Pradhan Mantri Kisan Man Dhan Yojana,,100.0,0.011764705882352941
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,Crop Insurance Scheme,Pradhan Mantri Fasal Bima Yojana,13625.0,1.6029411764705883
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Other Attached and Subordinate Offices,,,1119.66,0.13172470588235294
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Agriculture Economics and Statistics,220.0,0.02588235294117647
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Agriculture Census,80.0,0.009411764705882354
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,IRRI South Asia Regional Centre,25.0,0.0029411764705882353
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Coconut Development Board,39.13,0.004603529411764706
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Horticulture Board,24.0,0.002823529411764706
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Institute of Plant Health Management,16.5,0.0019411764705882352
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Institute of Agricultural Extension Management (MANAGE),5.0,0.0005882352941176471
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Chaudhary Charan Singh National Institute of Agricultural Marketing,4.5,0.0005294117647058824
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Statutory and Regulatory Bodies,Protection of Plant Varieties and Farmers Rights Authority,56.44,0.00664
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",CENTRE'S EXPENDITURE,International Cooperation,,,45.92,0.00540235294117647
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Rashtriya Krishi Vikas Yojna,,7150.35,0.8412176470588236
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Krishionnati Yojana.,,7066.47,0.8313494117647059
"Ministry of Agriculture and Farmers Welfare
Demand No. 1
Department of Agriculture and Farmers Welfare",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Mission on Natural Farming,,459.0,0.054
