name0,name1,name2,name3,name4,amounts_inrcr,amounts_usdb
"Ministry of Women and Child Development
Demand No. 101
Ministry of Women and Child Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,"Saksham Anganwadi and POSHAN 2.0 (Umbrella ICDS - Anganwadi Services, Poshan Abhiyan, Scheme for Adolescent Girls)",,20554.31,2.418154117647059
"Ministry of Women and Child Development
Demand No. 101
Ministry of Women and Child Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Mission Shakti (Mission for Protection and Empowerment for Women),"SAMARTHYA(Shakti Sadan (Swadhar, Ujjawala, Widow Home), Shakhi Niwas (Working Women Hostel), Palna (National Creche Scheme), Pradhan Mantri Matru Vandana Yojana/ National Hub for Women Empowerment/Gender Budgeting/Research/ Skilling/ Trg/ Media etc.)",2581.96,0.30376
"Ministry of Women and Child Development
Demand No. 101
Ministry of Women and Child Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Mission Shakti (Mission for Protection and Empowerment for Women),"SAMBAL (Beti Bacaho Beti Padhao, One Stop Centre, Nari Adalat, Mahila Police Volunteer, Women's Helpline etc.)",562.0,0.06611764705882353
"Ministry of Women and Child Development
Demand No. 101
Ministry of Women and Child Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Mission VATSALYA (Child Protection Services and Child Welfare Services),,1472.17,0.17319647058823529
"Ministry of Women and Child Development
Demand No. 101
Ministry of Women and Child Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Mission for Protection and Empowerment  for Women,Transfer to Nirbhaya Fund,500.0,0.058823529411764705
"Ministry of Women and Child Development
Demand No. 101
Ministry of Women and Child Development",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Mission for Protection and Empowerment  for Women,Other Schemes Funded from Nirbhaya Fund,20.0,0.0023529411764705885
"Ministry of Women and Child Development
Demand No. 101
Ministry of Women and Child Development",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Institute of Public Cooperation and Child Development (NIPCCD),56.0,0.006588235294117647
"Ministry of Women and Child Development
Demand No. 101
Ministry of Women and Child Development",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Commission for Women,42.0,0.004941176470588235
"Ministry of Women and Child Development
Demand No. 101
Ministry of Women and Child Development",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Central Social Welfare Board,40.06,0.004712941176470588
"Ministry of Women and Child Development
Demand No. 101
Ministry of Women and Child Development",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,National Commission for Protection of Child Rights (NCPCR),21.25,0.0025
"Ministry of Women and Child Development
Demand No. 101
Ministry of Women and Child Development",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Central Adoption Resource Agency (CARA),9.4,0.0011058823529411764
"Ministry of Women and Child Development
Demand No. 101
Ministry of Women and Child Development",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Contribution to UNICEF,5.6,0.0006588235294117646
"Ministry of Women and Child Development
Demand No. 101
Ministry of Women and Child Development",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,National Awards,1.6,0.00018823529411764704
