name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Grantee / Other Bodies,,987.84,0.11621647058823528
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,UT's Supplement to Centrally Sponsored Schemes,,15.0,0.0017647058823529412
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Schemes of UT,Power and Renewable Energy,858.75,0.10102941176470588
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Schemes of UT,Other Schemes,123.8,0.014564705882352941
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Schemes of UT,Education,112.39,0.01322235294117647
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Schemes of UT,Urban Development,101.63,0.011956470588235294
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Schemes of UT,Police Housing and Allied works,94.82,0.011155294117647057
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Schemes of UT,Road and Transport,75.55,0.008888235294117646
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Schemes of UT,Health Services,69.52,0.008178823529411764
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Schemes of UT,Welfare of Women and Children,39.13,0.004603529411764706
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Schemes of UT,"Forests, Wildlife, Ecology and Environment",36.29,0.004269411764705883
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Schemes of UT,Welfare of Differently Abled and Aged,19.34,0.002275294117647059
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Schemes of UT,Govt- Housing,15.83,0.0018623529411764706
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Schemes of UT,Khadi and Village Industries,15.0,0.0017647058823529412
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Others,Schemes of UT,"Art, Culture and Museum",4.05,0.0004764705882352941
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Other Establishment,,,2840.29,0.33415176470588237
"Ministry of Home Affairs
Demand No. 53
Ministry of Home Affairs (Chandigarh)",CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,Secretariat,,,26.87,0.0031611764705882354
