name0,name1,name2,name3,name4,name5,amounts_inrcr,amounts_usdb
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Health Mission,"Flexible Pool for RCH & Health System Strengthening , National Health Programme and National Urban Health Mission",Gross Budgetary Support (GBS),22094.57,2.5993611764705884
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Health Mission,Infrastructure Maintenance,Gross Budgetary Support (GBS),5498.37,0.6468670588235294
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Health Mission,Infrastructure Maintenance,Support from PMSSN,1300.0,0.15294117647058825
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Health Mission,Human Resources for Health and Medical Education,,6500.0,0.7647058823529411
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,National Health Mission,Strengthening National Programme Management of the NRHM,,192.32,0.022625882352941176
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),Support from (PMSSN),,6789.0,0.7987058823529412
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),Gross Budgetary Support,,411.0,0.048352941176470585
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PMABHIM),,,4200.0,0.49411764705882355
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Tertiary Care Programme,,,289.81,0.03409529411764706
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",TRANSFERS TO STATES/UTs,Centrally Sponsored Schemes,Strengthening of State Drug Regulatory System,,,72.14,0.008487058823529412
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,Establishment Expenditure of New AIIMS,,6835.0,0.8041176470588236
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,"All India Institute of Medical Sciences, N Delhi",Support from Gross Budgetary Support (GBS),4134.67,0.4864317647058824
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,"Post Graduate Institute of Medical Education and Research, Chandigarh",Support from Gross Budgetary Support (GBS),1923.1,0.2262470588235294
"Ministry of Health and Family Welfare
Demand No. 46
Department of Health and Family Welfare",CENTRE'S EXPENDITURE,Other Central Sector Expenditure,Autonomous Bodies,"Jawaharlal Institute of Post Graduate Medical Education and Research, Puducherry",Support from Gross Budgetary Support (GBS),1490.43,0.17534470588235296
