source_name,dest_name,source_abbrev,dest_abbrev,amount,amount_inr,amount_usd
ROOT,"Ministry of Planning
Demand No. 77
Ministry of Planning",r,r_mopdn7mop,824.39,8243900000.0,96987058.8235294
"Ministry of Planning
Demand No. 77
Ministry of Planning",CENTRE'S EXPENDITURE,r_mopdn7mop,r_mopdn7mop_cse,824.39,8243900000.0,96987058.8235294
CENTRE'S EXPENDITURE,Central Sector Schemes/Projects,r_mopdn7mop_cse,r_mopdn7mop_cse_cssp,632.0,6320000000.0,74352941.1764706
CENTRE'S EXPENDITURE,Establishment Expenditure of the Centre,r_mopdn7mop_cse,r_mopdn7mop_cse_eeotc,181.09,1810900000.0,21304705.88235294
CENTRE'S EXPENDITURE,Other Central Sector Expenditure,r_mopdn7mop_cse,r_mopdn7mop_cse_ocse,11.3,113000000.0,1329411.7647058824
Central Sector Schemes/Projects,Atal Innovation Mission(AIM) including Self Employment and Talent Utilization (SETU),r_mopdn7mop_cse_cssp,r_mopdn7mop_cse_cssp_aimaiseatus,155.0,1550000000.0,18235294.11764706
Central Sector Schemes/Projects,Official Development Assistance for Sustainable Development Goals (EAP Component),r_mopdn7mop_cse_cssp,r_mopdn7mop_cse_cssp_odafsdgec,433.0,4330000000.0,50941176.47058824
Central Sector Schemes/Projects,Ongoing Programme and Schemes,r_mopdn7mop_cse_cssp,r_mopdn7mop_cse_cssp_opas,4.0,40000000.0,470588.23529411765
Central Sector Schemes/Projects,State Support Mission,r_mopdn7mop_cse_cssp,r_mopdn7mop_cse_cssp_ssm,40.0,400000000.0,4705882.352941177
Establishment Expenditure of the Centre,Development Monitoring and Evaluation Office,r_mopdn7mop_cse_eeotc,r_mopdn7mop_cse_eeotc_dmaeo,17.0,170000000.0,2000000.0
Establishment Expenditure of the Centre,Secretariat,r_mopdn7mop_cse_eeotc,r_mopdn7mop_cse_eeotc_s,164.09,1640900000.0,19304705.88235294
Other Central Sector Expenditure,Autonomous Bodies,r_mopdn7mop_cse_ocse,r_mopdn7mop_cse_ocse_ab,11.3,113000000.0,1329411.7647058824
Autonomous Bodies,National Institute of Labour Economics Research and Development,r_mopdn7mop_cse_ocse_ab,r_mopdn7mop_cse_ocse_ab_niolerad,11.3,113000000.0,1329411.7647058824
